typeID,masteryID
582,1
582,2
582,3
582,4
582,5
582,6
582,7
582,8
582,9
582,10
582,11
582,12
582,13
582,14
582,15
582,16
582,17
582,18
582,19
582,20
582,21
582,22
582,23
582,24
582,25
582,26
583,27
583,28
583,29
583,30
583,31
583,32
583,33
583,34
583,35
583,36
583,37
583,38
583,39
583,40
583,41
583,42
583,43
583,44
583,45
583,46
583,47
583,48
583,49
583,50
583,51
583,52
583,53
583,54
583,55
583,56
583,57
583,58
583,59
583,60
583,61
583,62
584,63
584,64
584,65
584,66
584,67
584,68
584,69
584,70
584,71
584,72
584,73
584,74
584,75
584,76
584,77
584,78
584,79
584,80
584,81
584,82
584,83
584,84
584,85
584,86
584,87
584,88
585,89
585,90
585,91
585,92
585,93
585,94
585,95
585,96
585,97
585,98
585,99
585,100
585,101
585,102
585,103
585,104
585,105
585,106
585,107
585,108
585,109
585,110
585,111
585,112
585,113
585,114
585,115
585,116
585,117
585,118
585,119
585,120
585,121
585,122
585,123
585,124
586,125
586,126
586,127
586,128
586,129
586,130
586,131
586,132
586,133
586,134
586,135
586,136
586,137
586,138
586,139
586,140
586,141
586,142
586,143
586,144
586,145
586,146
586,147
586,148
586,149
586,150
586,151
586,152
586,153
586,154
586,155
586,156
587,157
587,158
587,159
587,160
587,161
587,162
587,163
587,164
587,165
587,166
587,167
587,168
587,169
587,170
587,171
587,172
587,173
587,174
587,175
587,176
587,177
587,178
587,179
587,180
587,181
587,182
587,183
587,184
587,185
587,186
587,187
587,188
587,189
587,190
587,191
587,192
588,193
588,194
588,195
588,196
588,197
588,198
588,199
588,200
588,201
588,202
588,203
588,204
588,205
588,206
588,207
588,208
588,209
588,210
588,211
588,212
588,213
588,214
588,215
588,216
588,217
588,218
588,219
588,220
588,221
588,222
588,223
588,224
588,225
588,226
588,227
588,228
588,229
588,230
588,231
588,232
588,233
589,234
589,235
589,236
589,237
589,238
589,239
589,240
589,241
589,242
589,243
589,244
589,245
589,246
589,247
589,248
