rigTypeID,activityKey,bonusType,productGroupID,filterID
37146,manufacturing,material,1201,7
37146,manufacturing,material,419,7
37146,manufacturing,material,4902,7
37146,manufacturing,material,26,7
37146,manufacturing,material,28,7
37146,manufacturing,material,463,7
37147,manufacturing,material,1201,7
37147,manufacturing,material,419,7
37147,manufacturing,material,4902,7
37147,manufacturing,material,26,7
37147,manufacturing,material,28,7
37147,manufacturing,material,463,7
37148,manufacturing,time,544,1
37148,manufacturing,time,640,1
37148,manufacturing,time,641,1
37148,manufacturing,time,1537,1
37148,manufacturing,time,100,1
37148,manufacturing,time,101,1
37148,manufacturing,time,1159,1
37148,manufacturing,time,4777,1
37148,manufacturing,time,4778,1
37148,manufacturing,time,4779,1
37148,manufacturing,time,1652,1
37148,manufacturing,time,1653,1
37148,manufacturing,time,639,1
37149,manufacturing,time,544,1
37149,manufacturing,time,640,1
37149,manufacturing,time,641,1
37149,manufacturing,time,1537,1
37149,manufacturing,time,100,1
37149,manufacturing,time,101,1
37149,manufacturing,time,1159,1
37149,manufacturing,time,4777,1
37149,manufacturing,time,4778,1
37149,manufacturing,time,4779,1
37149,manufacturing,time,1652,1
37149,manufacturing,time,1653,1
37149,manufacturing,time,639,1
37150,manufacturing,time,772,4
37150,manufacturing,time,1019,4
37150,manufacturing,time,1546,4
37150,manufacturing,time,1547,4
37150,manufacturing,time,1548,4
37150,manufacturing,time,1549,4
37150,manufacturing,time,1551,4
37150,manufacturing,time,1569,4
37150,manufacturing,time,548,4
37150,manufacturing,time,4905,4
37150,manufacturing,time,83,4
37150,manufacturing,time,85,4
37150,manufacturing,time,86,4
37150,manufacturing,time,87,4
37150,manufacturing,time,88,4
37150,manufacturing,time,89,4
37150,manufacturing,time,4186,4
37150,manufacturing,time,90,4
37150,manufacturing,time,863,4
37150,manufacturing,time,864,4
37150,manufacturing,time,372,4
37150,manufacturing,time,373,4
37150,manufacturing,time,374,4
37150,manufacturing,time,375,4
37150,manufacturing,time,1400,4
37150,manufacturing,time,376,4
37150,manufacturing,time,377,4
37150,manufacturing,time,384,4
37150,manufacturing,time,385,4
37150,manufacturing,time,386,4
37150,manufacturing,time,387,4
37150,manufacturing,time,648,4
37150,manufacturing,time,394,4
37150,manufacturing,time,395,4
37150,manufacturing,time,396,4
37150,manufacturing,time,653,4
37150,manufacturing,time,654,4
37150,manufacturing,time,655,4
37150,manufacturing,time,656,4
37150,manufacturing,time,657,4
37150,manufacturing,time,907,4
37150,manufacturing,time,908,4
37150,manufacturing,time,916,4
37150,manufacturing,time,909,4
37150,manufacturing,time,910,4
37150,manufacturing,time,663,4
37150,manufacturing,time,911,4
37150,manufacturing,time,1701,4
