regionID,constellationID,solarSystemID,solarSystemName,x,y,z,xMin,xMax,yMin,yMax,zMin,zMax,luminosity,border,fringe,corridor,hub,international,regional,constellation,security,factionID,radius,sunTypeID,starID,securityClass,x2D,y2D
10000001,20000001,30000001,Tanoo,-8.851079259998058e+16,4.236944396687888e+16,-4.451352534647966e+16,,,,,,,0.01575,1,0,0,1,1,1,,0.858324,,1323338301440.0,,40000001,B,6.985182150795389e+16,-7.190628684642312e+16
10000001,20000001,30000002,Lashesih,-1.0330096826312646e+17,4.1707503568269944e+16,-2.985630412979509e+16,,,,,,,0.01282,1,0,1,0,1,1,,0.751689,,1018400014336.0,,40000019,B,6.779735616948466e+16,-6.574289083101542e+16
10000001,20000001,30000003,Akpivem,-9.117414113307534e+16,4.393822748624717e+16,-5.64828243833399e+16,,,,,,,0.6213,1,0,0,1,0,0,,0.846292,,2473362456576.0,,40000040,B,6.985182150795389e+16,-8.834200955417698e+16
10000001,20000001,30000004,Jark,-9.367592635217893e+16,5.060424496232891e+16,-2.8403529106921656e+16,,,,,,,0.3461,1,0,1,0,1,1,,0.817001,,1771412258816.0,,40000129,B,7.601521752336158e+16,-5.957949481560773e+16
10000001,20000001,30000005,Sasta,-9.47821579619976e+16,4.3126247352903336e+16,-3.1896707679917976e+16,,,,,,,0.02403,1,0,0,1,0,0,,0.814337,,2563946315776.0,,40000190,B,7.396075218489235e+16,-6.574289083101542e+16
10000001,20000001,30000006,Zaid,-8.479215113885622e+16,5.231345579817933e+16,-5.707393452988227e+16,,,,,,,0.02324,1,0,1,0,0,0,,0.864229,,1734441959424.0,,40000291,B,9.450540556958467e+16,-8.012414820030005e+16
10000001,20000001,30000007,Yuzier,-9.036750901311018e+16,5.3447700930943336e+16,-4.904039903776986e+16,,,,,,,0.01469,0,0,0,1,0,0,,0.906556,,1297306222592.0,,40000332,B,7.601521752336158e+16,-8.012414820030005e+16
10000001,20000001,30000008,Nirbhi,-9.157610353638848e+16,5.733280273932774e+16,-5.52550579645263e+16,,,,,,,0.03981,1,0,0,1,0,0,,0.882116,,3716798480384.0,,40000381,B,8.628754421570774e+16,-8.012414820030005e+16
10000001,20000002,30000009,Sooma,-8.409473114021522e+16,6.920592880416069e+16,-7.522605213882882e+16,,,,,,,0.01479,0,1,0,0,0,0,,0.577819,,1835829297152.0,,40000471,B1,8.012414820030005e+16,-1.4997596970825395e+17
10000001,20000002,30000010,Chidah,-8.058885652012075e+16,6.164555728737678e+16,-7.977093166846189e+16,,,,,,,0.07498,0,0,0,1,0,0,,0.539052,,2834263179264.0,,40000532,B1,8.628754421570774e+16,-1.4997596970825395e+17
10000001,20000002,30000011,Shenela,-6.957546333485519e+16,5.712232544051474e+16,-8.065983520284456e+16,,,,,,,0.0138,1,0,1,0,0,0,,0.456959,,1295576072192.0,,40000604,B1,1.3354024700050008e+17,-1.4997596970825395e+17
10000001,20000002,30000012,Asabona,-8.878707829977315e+16,5.753035451398371e+16,-9.630907510391146e+16,,,,,,,0.7113,1,0,1,0,0,0,,0.322884,,3075451650048.0,,40000662,B2,6.985182150795389e+16,-1.4175810835437701e+17
10000001,20000002,30000013,Onsooh,-8.177874262836205e+16,6.025269366195689e+16,-8.663542662617672e+16,,,,,,,0.9844,0,0,0,1,0,0,,0.442817,,3468485722112.0,,40000769,B2,8.423307887723851e+16,-1.4381257369284624e+17
10000001,20000002,30000014,Shamahi,-7.775070973842114e+16,7.172253343511029e+16,-8.792201089000386e+16,,,,,,,0.569,1,0,0,1,0,0,,0.355242,,4388111777792.0,,40000860,B2,1.0683219760040006e+17,-1.4175810835437701e+17
10000001,20000002,30000015,Sendaya,-7.503588547523984e+16,4.7720998611999976e+16,-9.51724082940452e+16,,,,,,,0.08104,1,0,0,1,0,0,,0.293933,,2835135856640.0,,40000941,B2,9.245094023111544e+16,-1.3354024700050008e+17
10000001,20000002,30000016,Nazhgete,-8.363115529669693e+16,6.372378539716029e+16,-8.981378994851386e+16,,,,,,,0.01396,0,1,0,0,0,0,,0.391497,,1414100418560.0,,40000999,B2,8.217861353876928e+16,-1.3764917767743854e+17
10000001,20000003,30000017,Futzchag,-6.409858396852948e+16,4.127197346556516e+16,-1.0113923037751885e+17,,,,,,,0.7871,0,0,0,1,0,0,,0.172229,,4132975935488.0,,40001095,B3,9.245094023111544e+16,-1.2121345496968469e+17
