regionID,constellationID,constellationName,x,y,z,xMin,xMax,yMin,yMax,zMin,zMax,factionID,radius
10000001,20000001,San Matar,-9.404655970099134e+16,4.952015315379885e+16,-4.273873181840197e+16,,,,,,,500007,
10000001,20000002,Anares,-7.918127081731418e+16,5.972176602355514e+16,-8.576756362137014e+16,,,,,,,500007,
10000001,20000003,Mamouna,-6.654483432768207e+16,3.9477217750414e+16,-1.0244284202120213e+17,,,,,,,500007,
10000001,20000004,Kalangin,-7.074281179845457e+16,4.532120323605664e+16,-4.375050450696726e+16,,,,,,,500007,
10000001,20000005,Hevaka,-7.705956511467622e+16,2.7128553877044016e+16,-2.642336051102867e+16,,,,,,,500007,
10000001,20000006,Sazdih,-6.033625398071692e+16,4.132071726079656e+16,-7.304595160903117e+16,,,,,,,500007,
10000001,20000007,Ananah,-8.138726738414218e+16,3.5795629390012052e+16,-9.315303607799406e+16,,,,,,,500007,
10000001,20000008,Mossas,-8.074379500977834e+16,3.828316265607672e+16,-6.4811841380152904e+16,,,,,,,500007,
10000001,20000009,Mekashtad,-7.059112134856096e+16,6.779613875747232e+16,-5.958701615927007e+16,,,,,,,500007,
10000001,20000010,Bedaleya,-1.0554998756384811e+17,7.133708485816779e+16,-9.244230021960486e+16,,,,,,,500007,
10000001,20000011,Orshed,-1.041779905195649e+17,6.4228977553587576e+16,-5.78505820553084e+16,,,,,,,500007,
10000001,20000012,Oraron,-1.005080806914429e+17,5.298512993771216e+16,-6.7838940948732216e+16,,,,,,,500007,
10000001,20000013,Aguh,-8.53769123419319e+16,7.462751145155984e+16,-9.520390287755978e+16,,,,,,,500007,
10000001,20000014,Mal,-6.702541548059328e+16,6.906534372176664e+16,-8.373854660288003e+16,,,,,,,500007,
10000001,20000015,Subi,-9.60220705047765e+16,3.929649677749419e+16,-8.362476221261245e+16,,,,,,,500007,
10000001,20000016,Joas,-4.917391628170574e+16,3.3836265012847844e+16,-4.205706370940928e+16,,,,,,,500007,
10000002,20000017,Ruomo,-1.1132838287373936e+17,4.712423723133723e+16,1.0804234500732542e+17,,,,,,,500001,
10000002,20000018,Anttanen,-1.1569204532147507e+17,7.349004175131837e+16,9.104403194010862e+16,,,,,,,500001,
10000002,20000019,Ihilakken,-1.4364565469828213e+17,5.29095802542584e+16,1.0961937686593818e+17,,,,,,,500001,
10000002,20000020,Kimotoro,-1.3499640046818544e+17,6.499945263229326e+16,1.0332561731752134e+17,,,,,,,500001,
10000002,20000021,Okomon,-9.693075287312622e+16,6.667147806111107e+16,1.0174111459948445e+17,,,,,,,500001,
10000002,20000022,Onirvura,-9.05071158718375e+16,8.25506233976725e+16,9.746921387536291e+16,,,,,,,500001,
10000002,20000023,Ihatalo,-7.032240030785392e+16,5.3718255284865624e+16,8.82488968571482e+16,,,,,,,500001,
10000002,20000024,Okkelen,-7.418783808860848e+16,9.267968411825022e+16,1.1974394376336507e+17,,,,,,,500001,
